"구분(1)",구분(2),구분(3),구분(4),2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"도시대기",경기,김포,고촌읍,27,24,24,33,33,37
"도시대기",경기,김포,월곶면,27,19,20,32,30,36
"도시대기",경기,김포,한강신도시,29,23,26,38,37,42
"도시대기",경기,오산,오산동,29,24,22,30,31,35
"도시대기",경기,하남,신장동,26,21,19,23,29,33
"도시대기",경기,하남,미사,31,25,24,28,32,37
"도시대기",경기,화성,남양읍,27,24,26,35,35,39
"도시대기",경기,화성,향남,27,25,26,38,35,42
"도시대기",경기,화성,동탄동,26,22,23,32,31,35
"도시대기",경기,화성,우정읍,33,28,30,38,34,40
"도시대기",경기,화성,청계동,32,23,22,26,27,32
"도시대기",경기,화성,새솔동,23,20,21,28,31,39
"도시대기",경기,화성,봉담읍,37,36,31**,39,33,36
"도시대기",경기,화성,서신면,31,25,28,40,36,40
"도시대기",경기,양주,백석읍,24,20,20,25,29,35
"도시대기",경기,양주,고읍,25,19,22,31,31*,37
"도시대기",경기,동두천,보산동,24,17,18,25,28,33
"도시대기",경기,안성,봉산동,20,18,18,31,33,42
"도시대기",경기,안성,공도읍,24,22,22,35,35,43
"도시대기",경기,안성,죽산면,27,25,26,41,40,47
"도시대기",경기,이천,창전동,23,20,19,30,31,35
"도시대기",경기,이천,장호원읍,24,21,24,32,35,38
"도시대기",경기,이천,부발읍,31,29,29,42,42,47
"도시대기",경기,파주,금촌동,-,-,26,34,35,41
"도시대기",경기,파주,운정,28,23,25,33,26**,-
"도시대기",경기,파주,파주읍,20,16,18,27,29,36
"도시대기",경기,포천,선단동,30,21,19,28,29,38
"도시대기",경기,포천,일동면,21,16,13,21,27,32
"도시대기",경기,여주,중앙동,27,23,26,34,36,39
"도시대기",경기,여주,대신면,29,23,24,30,32,38
"도시대기",경기,여주,가남읍,32,28,33,44,43,48
"도시대기",경기,연천,연천,21,15,16,23,29,32
"도시대기",경기,연천,전곡,22,17,18,29,30,36
"도시대기",경기,가평,가평읍,25,19,23,25,31,34
"도시대기",경기,가평,설악면,25,21,21,26,33,40
"도시대기",경기,양평,양평읍,26,21,22,35,38,44
"도시대기",경기,양평,용문면,22,17,18,25,32,35
"도시대기",강원,양구,양구읍,17,11,13,16,18,23
"도시대기",강원,고성,상리,-,-,-,-,19*,24
"도시대기",강원,정선,정선읍사무소,14,9,16,23,28,32
"도시대기",강원,횡성,우천면,17,19**,-,-,-,33
"도시대기",강원,횡성,횡성읍,19,16,15,23,28,34
"도시대기",강원,춘천,중앙로,28,20,21,22,25,30
"도시대기",강원,춘천,신사우동,22,15,17,23,29,34
"도시대기",강원,강릉,주문진읍,22,17,16,24,23,28
"도시대기",강원,강릉,옥천동,23,15,13,18,18,23
"도시대기",강원,원주,중앙동,34,25,23,28,36,33
"도시대기",강원,원주,문막읍,25,24,19,23,28,33
"도시대기",강원,원주,반곡동,28,26,21,29,33,38
"도시대기",강원,원주,지정면,28,26,22,26,31,32
"도시대기",강원,동해,천곡동,30,21,17,19,18,22
"도시대기",강원,삼척,남양동,26,18,16,19,19,22
"도시대기",강원,평창,평창읍,17,17,17,25,31,35
"도시대기",강원,양양,양양읍,19,13,13,17,16,22
"도시대기",강원,속초,금호동,29,22,21,27,22,28
"도시대기",강원,영월,영월읍,20,18,16,21,25,30
"도시대기",강원,철원,갈말읍,27,20,21,25,30,33
"도시대기",강원,홍천,홍천읍,20,15,18,25,34,37
"도시대기",강원,화천,화천군,24,16,18,23,28,35
"도시대기",강원,태백,황지동,11,7,13,20,20,27
"도시대기",강원,인제,인제읍,21,13,15,19,21,23
"도시대기",충북,괴산,괴산읍,23,22,21,26,28,33
"도시대기",충북,괴산,감물면,21,19,19,24,30,35
"도시대기",충북,음성,음성읍,23,21,19,26,31,38
"도시대기",충북,음성,소이면,20,19,19,29,37,38
"도시대기",충북,청주,송정동,25,24,26,37,35,42*
"도시대기",충북,청주,사천동,22,23,23,38,37,46
"도시대기",충북,청주,용담동,-,-,-,36**,31,41
"도시대기",충북,청주,용암동,20,21,21,34,37,51
"도시대기",충북,청주,오창읍,22,20,20,30,31,40
"도시대기",충북,청주,산남동,21,19,18,28,30,40
"도시대기",충북,청주,가덕면,30,24,19,28,31,36
"도시대기",충북,청주,오송읍,23,22,22,31,30,41
"도시대기",충북,충주,호암동,25,24,23,30,35,40
"도시대기",충북,충주,칠금동,21,22,22,34,37,43
"도시대기",충북,충주,중앙탑면,27,23,21,25,27,37
"도시대기",충북,충주,살미면,24,23,20,22,26,33
"도시대기",충북,제천,장락동,31,25,23,35,38,43
"도시대기",충북,제천,영천동,28,24,23,30,31,40
"도시대기",충북,제천,청풍면,20,21,21,28,29,35
"도시대기",충북,단양,매포읍,24,27,29,39,43,57
"도시대기",충북,단양,단성면,24,23,21,26,29,36
"도시대기",충북,단양,단양읍,21,17,15,27,29,34
"도시대기",충북,진천,진천읍,24,22,22,32,32,39
"도시대기",충북,진천,덕산읍,25,24,23,31,34,40
"도시대기",충북,옥천,옥천읍,20,21,22,24,28,34
"도시대기",충북,영동,영동읍,20,19,17,23,26,32
"도시대기",충북,영동,황간면,21,15,14,19,21,28
"도시대기",충북,증평,증평읍,27,24,19,28,32,37**
"도시대기",충북,증평,도안면,25,21,20,32,33,38
"도시대기",충북,보은,보은읍,20,21,19,28,29,33
"도시대기",충남,천안,성황동,26,25,21,33,31,41
"도시대기",충남,천안,백석동,25,27,27,33,28,36
"도시대기",충남,천안,성거읍,26,23,23,41,43,55
"도시대기",충남,천안,신방동,33,32,31,41,35,44
"도시대기",충남,당진,송산면,33,35,33,44,43,47
"도시대기",충남,당진,당진시청사,33,30,30,33,32,39
"도시대기",충남,당진,합덕읍,19,20,21,31,30,40
"도시대기",충남,서산,독곶리,24,24,24,28,30,40
